z,zErr,photozcc2,photozerrcc2,photozd1,u,err_u,ra,dec,extinction_r
0.096043,0.024958,0.124031,0.078933,0.209936,21.845821,0.226878,154.12837901,47.06261363,0.025197
0.161942,0.043829,0.308945,0.07258,0.338217,22.382412,0.389587,154.12942813,47.10459156,0.025933
0.077101,0.025783,0.058533,0.047795,0.130529,20.362509,0.074207,154.12606396,47.10422026,0.025922
0.027037,0.013947,0.220184,0.073869,0.143755,21.103094,0.134826,154.12133388,47.0902205,0.025727
0.236281,0.04444,0.261006,0.100928,0.325768,21.75111,0.195274,154.11906663,47.1131314,0.025812
0.242266,0.013786,0.315481,0.073042,0.350009,24.060448,0.924498,154.11041533,47.09227668,0.025732
0.089705,0.02337,0.102208,0.027233,0.12028,19.952393,0.077497,154.11021781,47.06976622,0.02538
0.080478,0.018928,0.129848,0.061083,0.120128,20.792444,0.089987,154.10977501,47.07648127,0.025517
0.084177,0.022873,0.181621,0.155163,0.381902,23.418613,0.785018,154.10337235,47.06481557,0.025121
0.160508,0.012791,0.167019,0.035425,0.190483,21.431347,0.162395,154.10334976,47.06649988,0.025194
0.11649,0.057955,0.700549,0.299102,0.240512,21.031662,0.089645,154.10249617,47.14540881,0.024601
0.149954,0.029166,0.151378,0.068337,0.200083,21.41684,0.128794,154.09916734,47.08785004,0.025448
0.116515,0.026493,0.147611,0.046884,0.160683,20.703093,0.099738,154.09409594,47.11652427,0.025246
0.10387,0.026886,0.118344,0.071846,0.192341,21.618654,0.149805,154.09385404,47.07289659,0.025098
0.618993,0.062052,0.622215,0.131412,0.6855,23.827196,0.833446,154.09354253,47.07135027,0.025028
0.145925,0.016734,0.165553,0.054313,0.192898,21.866051,0.249215,154.09311404,47.09266899,0.025207
0.168427,0.011475,0.164865,0.015603,0.173708,21.182051,0.14436,154.09232834,47.06729853,0.024827
0.162713,0.020626,0.192097,0.022812,0.194761,21.501705,0.334643,154.0922097,47.07013838,0.024919
0.271857,0.046805,0.264971,0.105116,0.385626,21.856035,0.222616,154.09178665,47.11215819,0.025293
0.102918,0.032397,0.116013,0.066603,0.150565,21.123135,0.148046,154.09144092,47.09436792,0.025144
0.150362,0.029531,0.232859,0.052398,0.219667,23.431414,0.770619,154.08788629,47.06375704,0.024482
0.083528,0.026247,0.064855,0.061083,0.128009,21.216053,0.126954,154.08712726,47.10587258,0.025051
0.189047,0.021858,0.187755,0.041627,0.192337,20.948477,0.133937,154.08690816,47.09899588,0.02498
0.107694,0.024324,0.12716,0.038576,0.137157,20.386621,0.07007,154.08370688,47.1051295,0.024896
0.134601,0.016415,0.152795,0.050194,0.174081,21.943926,0.21224,154.08295412,47.07224501,0.024519
0.156834,0.01706,0.165482,0.065941,0.231707,22.308069,0.35846,154.07604515,47.1049661,0.02456
0.149886,0.025953,0.158245,0.021625,0.15631,19.446255,0.06345,154.07192825,47.14023407,0.02424
0.134777,0.034621,0.426541,0.138374,0.533302,23.922598,1.030019,154.05987095,47.07074731,0.023305
0.209663,0.02457,0.240967,0.050642,0.304605,24.918367,1.004092,154.05971089,47.06870817,0.023236
